,requisitos_academicos,requisitos_economicos,procedimiento_y_plazos
Artículo 1: Artículo 1.,-0.9124311799441113,6.015720422821691,-4.10328924287758
Artículo 2: Artículo 2.,0.3803568325403603,-0.18710840116201954,0.8067515686216593
Artículo 3: Artículo 3.,0.7717856588576302,0.5358640437928397,-0.3076497026504698
Artículo 4: Artículo 4.,0.6439581334783923,0.7450734084888392,-0.38903154196723144
Artículo 5: Artículo 5.,0.6886801093151153,0.6985165182563354,-0.38719662757145074
Artículo 6: Artículo 6.,0.09723008195840643,0.05078920151876747,0.8519807165228261
Artículo 7: Artículo 7.,0.2560356540106183,0.15800404198726034,0.5859603040021214
Artículo 8: Artículo 8.,-2.1025720900789056,-0.38092377499765134,3.483495865076557
Artículo 9: Artículo 9.,0.2072718848074231,-0.3971856311523607,1.1899137463449376
Artículo 10: Artículo 10.,0.1988462040656346,2.7656744543410694,-1.964520658406704
Artículo 11: Artículo 11.,0.8108015759405065,1.1217098245220982,-0.9325114004626046
Artículo 12: Artículo 12.,3.2246007170223137,-8.311100911226635,6.086500194204322
Artículo 13: Artículo 13.,-0.6886839950899579,0.2601844706597422,1.4284995244302159
Artículo 14: Artículo 14.,0.3992206845278178,0.18041934487270647,0.4203599705994757
Artículo 17: Artículo 17.,0.9723172874829852,-1.1641216171213407,1.1918043296383556
Artículo 18: Artículo 18.,0.7371189777284546,-0.48955147693922973,0.7524324992107752
Artículo 19: Artículo 19.,1.1692068410898122,-1.588685294384562,1.4194784532947495
Artículo 20: Artículo 20.,2.613174877418151,-5.454197732273416,3.8410228548552645
Artículo 21: Artículo 21.,2.2661247144094765,1.4178534068786168,-2.6839781212880935
Artículo 22: Artículo 22.,1.577661686629826,0.11965878494383635,-0.6973204715736624
Artículo 23: Artículo 23.,0.6751345674974807,0.25107357414361614,0.07379185835890324
Artículo 24: Artículo 24.,1.4022692180101703,-0.13701754897989402,-0.26525166903027625
Artículo 25: Artículo 25.,2.0058439890589415,0.7329144221033788,-1.7387584111623204
Artículo 26: Artículo 26.,4.671519977457616,0.4315783092426579,-4.103098286700274
Artículo 27: Artículo 27.,0.9269881079852799,0.3698842810336733,-0.2968723890189532
Artículo 28: Artículo 28.,0.7241916661744419,0.19383519975307203,0.08197313407248609
Artículo 29: Artículo 29.,1.1879003225344718,0.34827996354632224,-0.536180286080794
Artículo 30: Artículo 30.,35.07679345500702,-5.364233522850389,-28.712559932156633
Artículo 31: Artículo 31.,1.8469394680188251,0.3041110420631217,-1.1510505100819468
Artículo 32: Artículo 32.,1.7310958866093398,0.024115657951794156,-0.7552115445611339
Artículo 34: Artículo 34.,2.876698902288045,-1.15012287866379,-0.726576023624255
Artículo 35: Artículo 35.,0.7689730307088187,0.19510648391565194,0.03592048537552929
Artículo 36: Artículo 36.,1.0678768612168015,-0.3695211934509107,0.30164433223410936
Artículo 37: Artículo 37.,1.2520248875358524,0.10850878135373293,-0.3605336688895852
Artículo 38: Artículo 38.,0.8103705810504104,0.09985478678687112,0.08977463216271847
Artículo 39: Artículo 39.,0.8291680583343318,0.6350366251368417,-0.4642046834711734
Artículo 40: Artículo 40.,0.45058468623460435,-0.5034347779620815,1.0528500917274772
Artículo 41: Artículo 41.,0.27738699370618897,0.06177918165341668,0.6608338246403943
Artículo 43: Artículo 43.,0.1070021840949613,0.39182321914025675,0.5011745967647819
Artículo 44: Artículo 44.,0.18437744357713312,0.31257467809817435,0.5030478783246926
Artículo 45: Artículo 45.,0.3173420659405441,-0.07405870687703749,0.7567166409364934
Artículo 46: Artículo 46.,0.38191245025859166,0.3308884215184339,0.28719912822297444
Artículo 47: Artículo 47.,0.5390645248418042,1.320083494987275,-0.8591480198290792
Artículo 48: Artículo 48.,0.37510960995785436,-0.14857463269186982,0.7734650227340155
Artículo 49: Artículo 49.,-0.43643745807062895,1.9284556666542378,-0.49201820858360884
Artículo 50: Artículo 50.,-3.5730680740284537,2.4062031057650737,2.16686496826338
Artículo 51: Artículo 51.,0.4719616039581676,0.5069397869163483,0.021098609125484072
Artículo 52: Artículo 52.,0.3684118793602071,0.27305851901215056,0.35852960162764236
Artículo 54: Artículo 54.,0.7305764887780912,0.41114034702713953,-0.14171683580523073
Artículo 55: Artículo 55.,-0.3871806272127376,0.15256052272673537,1.2346201044860023
Artículo 57: Artículo 57.,0.3582783895233992,0.49030746444009027,0.15141414603651054
Artículo 58: Artículo 58.,0.07501415393468949,-0.3374850083078943,1.2624708543732048
Artículo 59: Artículo 59.,0.9422186090854067,-0.39566594942932864,0.453447340343922
Artículo 60: Artículo 60.,-0.38561778897340576,0.7948523179715828,0.590765471001823
Artículo 61: Artículo 61.,0.13103995615823594,0.5724333361222005,0.2965267077195636
Artículo 62: Artículo 62.,0.1721483650302992,0.5692236206292199,0.2586280143404809
Artículo 63: Artículo 63.,-0.32228391521513183,-0.13540443517833864,1.4576883503934706
Artículo 64: Artículo 64.,1.0245916181949557,0.12016491002811255,-0.14475652822306828
Artículo 65: Artículo 65.,0.27984020873445914,0.2871802440181544,0.4329795472473865
Artículo 66: Artículo 66.,-0.14013839237784065,0.5488407745945837,0.591297617783257
Artículo 68: Artículo 68.,-1.1112007652427365,-0.11545756837401623,2.226658333616753
Artículo 70: Artículo 70.,0.32280808952521733,0.4031550727819142,0.27403683769286846
Artículo 71: Artículo 71.,0.3713613927568777,0.2862133754589175,0.3424252317842048
